-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
-0.6708	,0.119462	,-0.649934	,-0.394598	,0.045	,-1.5695	,
