0.0485404	,0.289879	,
0.0374114	,0.494541	,
0.049688	,0.176204	,
0.0237981	,0.185544	,
0.0283594	,2.65803	,
0.0145749	,0.0921859	,
0.0323782	,2.83001	,
0.0197874	,2.96382	,
0.0656736	,0.844194	,
0.0111577	,0.0868762	,
0.0663292	,0.934195	,
0.0271918	,3.07199	,
0.0113463	,2.82482	,
0.0790344	,0.970604	,
0.0448072	,2.69085	,
0.0350084	,2.73265	,
0.0137387	,2.96822	,
0.0535049	,0.311299	,
0.0191142	,2.83829	,
0.0380917	,0.221223	,
0.0126531	,2.94799	,
0.0376625	,0.533263	,
0.0215522	,2.96467	,
0.0351277	,0.276931	,
0.0217414	,3.01168	,
0.0319697	,2.91683	,
0.0307285	,2.70436	,
0.00300244	,0.138864	,
0.0572491	,2.64548	,
0.038201	,0.308354	,
0.00646075	,0.212433	,
0.0274602	,0.251975	,
0.108757	,0.65305	,
0.0219571	,0.081803	,
0.0353104	,2.96157	,
0.0159468	,0.309208	,
0.0206043	,2.92047	,
0.0187913	,2.79853	,
0.0415686	,0.505583	,
0.0313722	,0.40682	,
0.0186875	,0.125353	,
0.0260444	,0.0355895	,
0.0463655	,0.501402	,
0.0413822	,0.324919	,
0.0304364	,0.414178	,
0.0169083	,0.27797	,
0.0241932	,0.465147	,
0.0267276	,0.142314	,
0.00946513	,2.97982	,
0.0379113	,0.41732	,
0.0332893	,0.307034	,
0.0110818	,2.79548	,
0.0351723	,2.60239	,
0.0145833	,0.134546	,
0.0202684	,0.0563156	,
0.0380723	,0.31366	,
0.023796	,2.86715	,
0.0392175	,0.0533755	,
0.0155073	,0.254408	,
0.0199574	,0.077108	,
0.0149277	,2.88188	,
0.106105	,2.35595	,
0.0260953	,0.465751	,
0.0179263	,0.117373	,
0.0329951	,0.146027	,
0.0268584	,2.89372	,
0.03816	,2.6421	,
0.00798033	,0.143744	,
0.00852356	,0.0530674	,
0.0840928	,0.798226	,
0.0165223	,2.89894	,
0.0377546	,2.73779	,
0.0149742	,0.0317415	,
0.019452	,0.104464	,
0.0198799	,2.82837	,
0.014909	,2.8997	,
0.117558	,2.49936	,
0.0775298	,0.936236	,
0.019419	,0.233592	,
0.0234605	,0.43386	,
0.0262548	,0.0798914	,
0.0175731	,0.121515	,
0.00934789	,2.92073	,
0.0157146	,2.77969	,
0.0557336	,0.723939	,
0.047162	,0.201606	,
0.0950174	,1.0655	,
0.0234962	,0.0517452	,
0.0452102	,0.245111	,
0.0581056	,0.170486	,
0.0315392	,0.196272	,
0.0236799	,2.87075	,
0.0481371	,0.428407	,
0.0210356	,0.130513	,
0.0272444	,0.154518	,
0.0272231	,0.0597241	,
0.0311219	,2.95136	,
0.0298559	,2.83821	,
0.0430161	,0.411878	,
0.036744	,0.0308326	,
