0.12614	,1.57288	,
0.217114	,1.72975	,
0.034073	,0.483859	,
0.147107	,1.59283	,
0.63073	,1.51372	,
0.452887	,1.4746	,
0.45952	,1.53295	,
0.391492	,1.62124	,
0.121744	,1.61973	,
0.215714	,1.5605	,
0.0444098	,0.808562	,
0.199776	,1.53613	,
0.527661	,1.65396	,
0.233282	,1.59403	,
0.62436	,1.87116	,
0.563455	,1.49442	,
0.144248	,1.74921	,
0.02967	,2.79675	,
0.0267202	,0.169005	,
0.0751248	,1.77105	,
0.0354465	,2.72493	,
0.664782	,1.70396	,
0.121765	,1.78837	,
0.201268	,1.55413	,
0.186983	,1.67039	,
0.0692069	,0.908082	,
0.0255509	,3.00381	,
0.0211735	,0.0672467	,
0.614955	,1.54771	,
0.0554221	,0.836925	,
0.393994	,1.51983	,
0.272969	,1.65523	,
0.0300035	,2.43236	,
0.0819377	,0.769183	,
0.353028	,1.71609	,
0.45986	,1.77517	,
0.284195	,1.44912	,
0.214651	,1.58559	,
0.143811	,1.41799	,
0.682431	,1.61814	,
0.49458	,1.24259	,
0.0286781	,2.94923	,
0.552309	,1.4077	,
0.270574	,1.60945	,
0.0599681	,2.86042	,
0.339745	,1.42473	,
0.647508	,1.43696	,
0.568074	,1.75463	,
0.0737522	,2.63334	,
0.311793	,1.63004	,
0.559366	,1.63453	,
0.177679	,1.5458	,
0.16344	,1.5987	,
0.240599	,1.53093	,
0.391259	,1.58861	,
0.0603144	,0.578938	,
0.509621	,1.65721	,
0.536664	,1.63551	,
0.126829	,1.68647	,
0.454686	,1.59965	,
0.45298	,1.61272	,
0.50632	,1.61186	,
0.555504	,1.54942	,
0.264808	,1.68019	,
0.11275	,1.71801	,
0.284346	,1.51976	,
0.0299263	,0.17751	,
0.344446	,1.62643	,
0.544042	,1.65289	,
0.0914738	,2.61978	,
0.200109	,1.74487	,
0.184463	,1.67231	,
0.07489	,2.06947	,
0.596499	,1.82055	,
0.160066	,1.6724	,
0.192599	,1.68656	,
0.0885731	,1.13536	,
0.0342554	,2.82362	,
0.0145537	,2.89612	,
0.0249448	,0.183728	,
0.627979	,1.55538	,
0.0336007	,0.0222427	,
0.0893178	,0.770139	,
0.23938	,1.44925	,
0.389213	,1.72746	,
0.229874	,1.58033	,
0.453733	,1.50112	,
0.651525	,1.61983	,
0.130548	,1.88707	,
0.478256	,1.56872	,
0.027171	,2.88852	,
0.0556066	,2.74278	,
0.262092	,1.51961	,
0.223815	,1.53617	,
0.41082	,1.59608	,
0.133604	,1.47954	,
0.387893	,1.6653	,
0.387007	,1.5868	,
0.158276	,1.23202	,
0.0264481	,2.69869	,
